site,subplot,sp_phase,yst,year,kgha_1h,kgha_10h,kgha_100h,kgha_1000h,kgha_100_1000h,1h,10h,100h,1000h,100h_1000h,duff_litter_load,trt,treatment,TC,TDC,tree_cvr_SS
SC,2,2,1,2008,7985.92,6418.986667,1620.32,0,1620.32,7985.92,6418.986667,NA,NA,1620.32,,Mastication,BM,27,0.27,
SC,7,2,1,2008,6178.506667,4850.346667,0,0,0,6178.506667,4850.346667,NA,NA,0,,Mastication,BM,12,0.12,
SC,10,2,1,2008,4303.946667,3171.413333,1779.893333,0,1779.893333,4303.946667,3171.413333,NA,NA,1779.893333,,Mastication,BM,28,0.28,
SC,11,2,1,2008,5410.453333,3151.093333,0,0,0,5410.453333,3151.093333,NA,NA,0,,Mastication,BM,18,0.18,
SC,13,2,1,2008,1883.466667,2355.04,0,0,0,1883.466667,2355.04,NA,NA,0,,Mastication,BM,20,0.2,
SC,8,3,1,2008,9263.52,5066.133333,781.76,0,781.76,9263.52,5066.133333,NA,NA,781.76,,Mastication,BM,31,0.31,
SC,9,3,1,2008,8589.28,5300.48,1310.933333,3855.52,5166.453333,8589.28,5300.48,NA,NA,5166.453333,,Mastication,BM,39,0.39,
SC,14,3,1,2008,12537.28,6752.373333,2685.013333,0,2685.013333,12537.28,6752.373333,NA,NA,2685.013333,,Mastication,BM,28,0.28,
SC,3,1,5,2012,1269.493333,511.2,NA,NA,54.01444969,1269.493333,511.2,NA,NA,54.01444969,,Mastication,BM,6,0.06,
SC,4,1,5,2012,2246.026666,2340.8,NA,NA,0,2246.026666,2340.8,NA,NA,0,,Mastication,BM,8,0.08,
SC,5,1,5,2012,3372.16,2332.48,NA,NA,58.36381019,3372.16,2332.48,NA,NA,58.36381019,,Mastication,BM,13,0.13,
SC,6,1,5,2012,1528.106667,1722.133334,NA,NA,20.00147323,1528.106667,1722.133334,NA,NA,20.00147323,,Mastication,BM,9,0.09,
SC,12,1,5,2012,1691.36,2833.866667,NA,NA,47.1238898,1691.36,2833.866667,NA,NA,47.1238898,,Mastication,BM,12,0.12,
SC,1,2,5,2012,4752.373333,775.3066667,NA,NA,244.6602545,4752.373333,775.3066667,NA,NA,244.6602545,,Mastication,BM,17,0.17,
SC,2,2,5,2012,3498.613333,3607.2,NA,NA,228.1843464,3498.613333,3607.2,NA,NA,228.1843464,,Mastication,BM,27,0.27,
SC,7,2,5,2012,5057.28,3105.12,NA,NA,496.5333333,5057.28,3105.12,NA,NA,496.5333333,,Mastication,BM,12,0.12,
SC,10,2,5,2012,5405.173333,2880.213333,NA,NA,810.4568581,5405.173333,2880.213333,NA,NA,810.4568581,,Mastication,BM,28,0.28,
SC,11,2,5,2012,1885.813334,1686.293333,NA,NA,206.6993433,1885.813334,1686.293333,NA,NA,206.6993433,,Mastication,BM,18,0.18,
SC,13,2,5,2012,1667.04,738.4533334,NA,NA,147.1312559,1667.04,738.4533334,NA,NA,147.1312559,,Mastication,BM,20,0.2,
SC,8,3,5,2012,4601.76,3958.56,NA,NA,819.0741753,4601.76,3958.56,NA,NA,819.0741753,,Mastication,BM,31,0.31,
SC,9,3,5,2012,6493.92,3110.666667,NA,NA,1245.494388,6493.92,3110.666667,NA,NA,1245.494388,,Mastication,BM,39,0.39,
SC,14,3,5,2012,8360,4751.413333,NA,NA,1332.411311,8360,4751.413333,NA,NA,1332.411311,,Mastication,BM,28,0.28,
SC,3,1,10,2017,809.2266667,1526.613333,313.8133333,0,313.8133333,151.73,286.24,58.84,0,58.84,,Mastication,BM,6,0.06,
SC,4,1,10,2017,822.8266667,2132.853333,996.5333333,0,996.5333333,154.28,399.91,186.85,0,186.85,,Mastication,BM,8,0.08,
SC,5,1,10,2017,1495.2,3509.386667,3461.013333,0,3461.013333,280.35,658.01,648.94,0,648.94,,Mastication,BM,13,0.13,
SC,6,1,10,2017,19.57333333,847.7866667,71.09333333,909.6,980.6933333,3.67,158.96,13.33,170.55,183.88,,Mastication,BM,9,0.09,
SC,12,1,10,2017,3519.146667,3730.933333,915.7333333,843.52,1759.253333,659.84,699.55,171.7,158.16,329.86,,Mastication,BM,12,0.12,
SC,1,2,10,2017,1730.133333,8100.48,7770.506667,0,7770.506667,324.4,1518.84,1456.97,0,1456.97,,Mastication,BM,17,0.17,
SC,2,2,10,2017,4168.693333,6050.24,918.88,0,918.88,781.63,1134.42,172.29,0,172.29,,Mastication,BM,27,0.27,
SC,7,2,10,2017,1348,3049.226667,247.3066667,0,247.3066667,252.75,571.73,46.37,0,46.37,,Mastication,BM,12,0.12,
SC,10,2,10,2017,3298.666667,4226.453333,1899.253333,0,1899.253333,618.5,792.46,356.11,0,356.11,,Mastication,BM,28,0.28,
SC,11,2,10,2017,846.2933333,666.8266667,229.3333333,0,229.3333333,158.68,125.03,43,0,43,,Mastication,BM,18,0.18,
SC,13,2,10,2017,842.1866667,2383.253333,438.9866667,0,438.9866667,157.91,446.86,82.31,0,82.31,,Mastication,BM,20,0.2,
SC,8,3,10,2017,2827.36,5031.946667,2833.706667,0,2833.706667,530.13,943.49,531.32,0,531.32,,Mastication,BM,31,0.31,
SC,9,3,10,2017,3136.906667,7068.586667,3781.653333,5902.24,9683.893333,588.17,1325.36,709.06,1106.67,1815.73,,Mastication,BM,39,0.39,
SC,14,3,10,2017,6887.84,7257.973333,2590.986667,0,2590.986667,1291.47,1360.87,485.81,0,485.81,,Mastication,BM,28,0.28,
