"subplot_id","year","speriod","shrub_bio_ttl","shrub_1hr","shrub_10hr","herb_fuel_live_wd","herb_fuel_dead_wd","ispace_litter_load_wd","herb_fuel_stand_wd","tree_dns_ttl_JUOS","tree_dns_lt5_JUOS","tree_dns_5_50_JUOS","tree_dns_gt50_JUOS","tree_dns_ttl_PIED","tree_dns_lt5_PIED","tree_dns_5_50_PIED","tree_dns_gt50_PIED","tree_dns_ttl_PIMO","tree_dns_lt5_PIMO","tree_dns_5_50_PIMO","tree_dns_gt50_PIMO","can_cover_pt_tree","can_cover_pt_shrub","can_cover_pt_pgrass","can_cover_pt_pforb","can_cover_pt_agrass","can_cover_pt_aforb","can_cover_pt_forb","tree_cover_ttl","tree_cvr_JUOS","tree_cvr_PIED","rcode","scode","pcode","ptype","sp_number","treatment"
"JP-GR-GC021","13","001",-939,-522,-235,323,211,5,NA,56,0,56,0,56,0,56,0,0,0,0,0,1.3,14,28,2.7,5.3,0,0,NA,NA,NA,"JP","GR","G","CP","021","BM"
"JP-GR-GC021","17","001",-953,-336,-251,723,69,907,NA,157,0,56,101,40,0,0,40,0,0,0,0,2.7,15,33,3.7,14,0,0,1,0.9,0.1,"JP","GR","G","CP","021","BM"
"JP-GR-GC026","06","001",0,0,0,157,515,136,NA,91,0,0,91,66,0,56,10,0,0,0,0,0,18.7,16.7,1.3,5,0,0,7.4,7.4,0,"JP","GR","G","CP","026","BM"
"JP-GR-GC026","07","001",7007,2693,2492,296,195,85,NA,0,0,0,0,0,0,0,0,0,0,0,0,6.7,14,17.7,1.3,1.3,0,0,NA,NA,NA,"JP","GR","G","CP","026","BM"
"JP-GR-GC026","08","001",3829,3177,2011,555,264,131,NA,56,0,56,0,56,0,56,0,0,0,0,0,0.7,13.7,13.7,0.3,0.3,0,0,NA,NA,NA,"JP","GR","G","CP","026","BM"
"JP-GR-GC026","09","001",3035,1672,1256,456,251,144,NA,111,0,111,0,56,0,56,0,0,0,0,0,0.7,14.3,39.7,1,0,1.3,0,NA,NA,NA,"JP","GR","G","CP","026","BM"
"JP-GR-GC026","10","001",5061,2587,2090,285,981,445,NA,111,0,111,0,167,0,167,0,0,0,0,0,0.3,13,18.7,4,2,0.7,0,NA,NA,NA,"JP","GR","G","CP","026","BM"
"JP-GR-GC026","12","001",3925,1559,1479,411,411,229,NA,111,0,111,0,111,0,111,0,0,0,0,0,1,18,33.7,3,1,0,0,NA,NA,NA,"JP","GR","G","CP","026","BM"
"JP-GR-GC026","13","001",5217,2053,1852,245,109,139,NA,167,0,167,0,111,0,111,0,0,0,0,0,0.7,23.7,23.3,2,3.3,0,0,NA,NA,NA,"JP","GR","G","CP","026","BM"
"JP-GR-GC026","17","001",-4815,-1810,-1667,240,85,456,NA,162,0,111,51,131,0,111,20,0,0,0,0,0.4,16.2,28.3,2.9,5,0,0,0.4,0.3,0.1,"JP","GR","G","CP","026","BM"
"JP-GR-GC027","06","001",0,0,0,163,435,125,NA,238,0,56,182,121,0,0,121,0,0,0,0,0,6.3,19.3,2,0,0,0,10,5,5,"JP","GR","G","CP","027","BM"
"JP-GR-GC027","07","001",888,528,384,365,200,109,NA,1778,1778,0,0,0,0,0,0,0,0,0,0,11.3,6,20.3,1.3,1.3,0,0,NA,NA,NA,"JP","GR","G","CP","027","BM"
"JP-GR-GC027","08","001",-916,-474,-385,565,291,136,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2,11.3,2,0,0,0,NA,NA,NA,"JP","GR","G","CP","027","BM"
"JP-GR-GC027","09","001",-874,-371,-296,909,171,149,NA,56,0,56,0,56,0,56,0,0,0,0,0,0.7,5,45,7,0.3,2.3,0,NA,NA,NA,"JP","GR","G","CP","027","BM"
"JP-GR-GC027","10","001",868,549,408,400,160,85,NA,56,0,56,0,0,0,0,0,0,0,0,0,0.7,2.7,35.3,7.3,5.3,7.3,0,NA,NA,NA,"JP","GR","G","CP","027","BM"
"JP-GR-GC027","12","001",2975,1324,1144,565,880,184,NA,111,0,111,0,56,0,56,0,0,0,0,0,0.7,8,43.7,2,6.3,0,0,NA,NA,NA,"JP","GR","G","CP","027","BM"
"JP-GR-GC027","13","001",-728,-333,-283,373,192,37,NA,278,0,278,0,56,0,56,0,0,0,0,0,1.3,6.3,40,4.7,7.7,0,0,NA,NA,NA,"JP","GR","G","CP","027","BM"
"JP-GR-GC027","17","001",-2019,-1073,-879,365,96,344,NA,414,0,222,192,61,0,0,61,0,0,0,0,0.3,12,33.3,2,24,1,0,1.1,0.9,0.2,"JP","GR","G","CP","027","BM"
"JP-GR-GC028","06","001",0,0,0,219,315,131,NA,238,0,56,182,202,0,111,91,0,0,0,0,0,1.7,22.3,0.7,0,0,0,10.6,6.9,3.7,"JP","GR","G","CP","028","BM"
"JP-GR-GC028","07","001",958,233,254,320,309,211,NA,0,0,0,0,0,0,0,0,0,0,0,0,7,2.3,24.3,0.7,0,0,0,NA,NA,NA,"JP","GR","G","CP","028","BM"
"JP-GR-GC028","08","001",346,303,180,515,365,181,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,29.7,3,0,0,0,NA,NA,NA,"JP","GR","G","CP","028","BM"
"JP-GR-GC028","09","001",747,337,263,749,301,200,NA,111,0,111,0,56,0,56,0,0,0,0,0,0,2.3,33,2.3,0,0.3,0,NA,NA,NA,"JP","GR","G","CP","028","BM"
"JP-GR-GC028","10","001",-492,-133,-136,736,384,101,NA,56,0,56,0,56,0,56,0,0,0,0,0,0.7,2.3,29,6.3,1.3,2.3,0,NA,NA,NA,"JP","GR","G","CP","028","BM"
"JP-GR-GC028","12","001",876,322,302,1424,509,104,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.7,3,50.7,3.7,5.3,0,0,NA,NA,NA,"JP","GR","G","CP","028","BM"
"JP-GR-GC028","13","001",-413,-150,-131,581,85,96,NA,1167,889,278,0,111,0,111,0,0,0,0,0,0.7,4,41,2.3,3.3,0,0,NA,NA,NA,"JP","GR","G","CP","028","BM"
"JP-GR-GC028","17","001",-1311,-310,-376,256,75,171,NA,131,0,0,131,238,0,167,71,0,0,0,0,0.3,5,33,4.3,11.7,0.7,0,1.1,1,0.1,"JP","GR","G","CP","028","BM"
"JP-GR-GC029","06","001",0,0,0,61,117,35,NA,434,0,222,212,167,0,56,111,0,0,0,0,0,0.7,9.3,1,0.3,0,0,21.4,16.6,4.8,"JP","GR","G","CP","029","BM"
"JP-GR-GC029","07","001",0,0,0,501,69,56,NA,889,889,0,0,0,0,0,0,0,0,0,0,21.7,0.7,11,1.3,0,0,0,NA,NA,NA,"JP","GR","G","CP","029","BM"
"JP-GR-GC029","08","001",0,0,0,365,56,35,NA,222,0,222,0,0,0,0,0,0,0,0,0,0.3,0.3,12.7,3,0.3,0.3,0,NA,NA,NA,"JP","GR","G","CP","029","BM"
"JP-GR-GC029","09","001",-2,-22,-1,656,125,56,NA,167,0,167,0,111,0,111,0,0,0,0,0,0.7,1.7,16.7,2,0.3,0.3,0,NA,NA,NA,"JP","GR","G","CP","029","BM"
"JP-GR-GC029","10","001",12,3,0,944,331,35,NA,56,0,56,0,111,0,111,0,0,0,0,0,0.3,1.7,21.3,9.7,2,3,0,NA,NA,NA,"JP","GR","G","CP","029","BM"
"JP-GR-GC029","12","001",80,35,23,640,355,40,NA,56,0,56,0,111,0,111,0,0,0,0,0,0.3,3.3,30.3,5.7,6.7,0,0,NA,NA,NA,"JP","GR","G","CP","029","BM"
"JP-GR-GC029","13","001",-27,-7,-2,432,99,32,NA,611,0,611,0,0,0,0,0,0,0,0,0,1,2,37,2.3,4,0,0,NA,NA,NA,"JP","GR","G","CP","029","BM"
"JP-GR-GC029","16","001",NA,NA,NA,NA,NA,728,373,0,0,0,0,0,0,0,0,0,0,0,0,1,3.7,23.7,1.7,9.7,2.7,0.3,NA,NA,NA,"JP","GR","G","CP","029","BM"
"JP-GR-GC029","17","001",-6,-21,-8,499,155,637,NA,616,0,444,172,182,0,111,71,0,0,0,0,2,9,31.7,5.7,23.7,2,0,1.5,1,0.5,"JP","GR","G","CP","029","BM"
"JP-GR-GC031","06","001",0,0,0,35,80,77,NA,364,0,111,253,81,0,0,81,0,0,0,0,0.3,14.7,12.3,3.3,1.7,0,0,10.6,8.9,1.7,"JP","GR","G","CP","031","BM"
"JP-GR-GC031","07","001",2927,1157,1033,176,131,75,NA,0,0,0,0,0,0,0,0,0,0,0,0,8,13,17,2,0.7,0,0,NA,NA,NA,"JP","GR","G","CP","031","BM"
