"subplot_id","year","speriod","tree_cover_ttl","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase"
"JP-SC-GC012","17","001",0.1,0.1,0,0,"JP","SC","G","CP","012","BM","1"
"JP-SC-GC013","17","001",0.1,0.1,0,0,"JP","SC","G","CP","013","BM","2"
"JP-SC-GC014","17","001",0.3,0.3,0,0,"JP","SC","G","CP","014","BM","3"
"JP-SC-MC002","17","001",0.6,0.6,0,0,"JP","SC","M","CP","002","ME","3"
"JP-SC-MC003","17","001",0.2,0.2,0,0,"JP","SC","M","CP","003","ME","2"
"JP-SC-MC004","17","001",1,1,0,0,"JP","SC","M","CP","004","ME","2"
"JP-SC-MC005","17","001",0.4,0.1,0.3,0,"JP","SC","M","CP","005","ME","2"
"JP-SC-MC007","17","001",0.7,0.7,0,0,"JP","SC","M","CP","007","ME","2"
"JP-SC-MC008","17","001",0.6,0.6,0,0,"JP","SC","M","CP","008","ME","2"
"JP-SC-MC009","17","001",1.3,1.3,0,0,"JP","SC","M","CP","009","ME","2"
"JP-SC-MC010","17","001",0.6,0.6,0,0,"JP","SC","M","CP","010","ME","1"
"JP-SC-MC011","17","001",0.3,0.3,0,0,"JP","SC","M","CP","011","ME","3"
"JP-SC-MC012","17","001",1.3,1.2,0,0.1,"JP","SC","M","CP","012","ME","3"
"JP-SC-MC013","17","001",1.1,1.1,0,0,"JP","SC","M","CP","013","ME","3"
"JP-SC-MC016","17","001",0,0,0,0,"JP","SC","M","CP","016","ME","1"
"JP-SC-MC019","17","001",1,1,0,0,"JP","SC","M","CP","019","ME","1"
"JP-SC-MC020","17","001",0.4,0.4,0,0,"JP","SC","M","CP","020","ME","2"
