"subplot_id","year","speriod","dwd_fuel_10h","dwd_fuel_100h","dwd_fuel_1000h_s","dwd_fuel_1000h_r","tree_ltr_ld","tree_duff_ld","tree_ltr_depth","tree_duff_depth","tree_ltr_bulkd","tree_duff_bulkd","tree_cover_ttl","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","live_tree_ltr_duff_ld","dead_tree_ltr_duff_ld","tree_ltr_duff_ld","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase"
"JP-ON-GC010","16","001",3520,3970,1217,967,NA,NA,NA,NA,NA,NA,0.2,0.2,0,0,NA,50,50,"JP","ON","G","CP","010","BM","2"
"JP-ON-GC012","16","001",554,221,421,0,NA,NA,NA,NA,NA,NA,0.3,0.3,0,0,NA,38,38,"JP","ON","G","CP","012","BM","1"
"JP-ON-GC013","16","001",305,0,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0,0,NA,82,82,"JP","ON","G","CP","013","BM","2"
"JP-ON-GC017","16","001",2744,1103,533,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0,0,NA,72,72,"JP","ON","G","CP","017","BM","3"
"JP-ON-GC018","16","001",444,1323,0,0,NA,NA,NA,NA,NA,NA,0.6,0.6,0,0,NA,101,101,"JP","ON","G","CP","018","BM","2"
"JP-ON-GC019","16","001",554,1764,658,0,NA,NA,NA,NA,NA,NA,0.6,0.6,0,0,NA,218,218,"JP","ON","G","CP","019","BM","3"
"JP-ON-GC022","16","001",1552,662,0,0,NA,NA,NA,NA,NA,NA,0.6,0.6,0,0,NA,115,115,"JP","ON","G","CP","022","BM","2"
"JP-ON-GC024","16","001",3687,2647,1835,0,NA,NA,NA,NA,NA,NA,0.4,0.4,0,0,NA,113,113,"JP","ON","G","CP","024","BM","3"
"JP-ON-GC026","16","001",804,2867,1822,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0,0,NA,53,53,"JP","ON","G","CP","026","BM","3"
"JP-ON-GC030","16","001",1996,1103,0,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0,0,NA,95,95,"JP","ON","G","CP","030","BM","2"
"JP-ON-GC031","16","001",1857,1103,0,597,NA,NA,NA,NA,NA,NA,0.7,0.7,0,0,NA,234,234,"JP","ON","G","CP","031","BM","2"
"JP-ON-GC033","16","001",970,1544,421,3340,NA,NA,NA,NA,NA,NA,0.7,0.7,0,0,NA,215,215,"JP","ON","G","CP","033","BM","3"
"JP-ON-GC034","16","001",2800,2426,421,0,NA,NA,NA,NA,NA,NA,0.3,0.3,0,0,NA,84,84,"JP","ON","G","CP","034","BM","3"
"JP-ON-MC002","16","001",4324,8271,4924,0,NA,NA,NA,NA,NA,NA,0.9,0.9,0,0,NA,106,106,"JP","ON","M","CP","002","ME","3"
"JP-ON-MC004","16","001",2301,7058,26734,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0,0,NA,103,103,"JP","ON","M","CP","004","ME","3"
"JP-ON-MC008","16","001",1746,2867,7506,0,NA,NA,NA,NA,NA,NA,1.2,1.2,0,0,NA,129,129,"JP","ON","M","CP","008","ME","2"
"JP-ON-MC015","16","001",1691,5293,5072,316,NA,NA,NA,NA,NA,NA,1.8,1.8,0,0,NA,176,176,"JP","ON","M","CP","015","ME","3"
"JP-ON-MC016","16","001",1802,6176,23090,0,NA,NA,NA,NA,NA,NA,1.1,1.1,0,0,NA,55,55,"JP","ON","M","CP","016","ME","3"
"JP-ON-MC018","16","001",832,2867,6302,0,NA,NA,NA,NA,NA,NA,0.2,0.2,0,0,NA,37,37,"JP","ON","M","CP","018","ME","2"
"JP-ON-MC019","16","001",3077,4632,2615,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,9,9,"JP","ON","M","CP","019","ME","1"
"JP-ON-MC021","16","001",2495,6286,4993,0,NA,NA,NA,NA,NA,NA,0.7,0.7,0,0,NA,132,132,"JP","ON","M","CP","021","ME","2"
"JP-ON-MC024","16","001",1303,662,5532,0,NA,NA,NA,NA,NA,NA,1.7,1.7,0,0,NA,336,336,"JP","ON","M","CP","024","ME","1"
"JP-ON-MC025","16","001",1164,2206,8137,0,NA,NA,NA,NA,NA,NA,1,1,0,0,571,49,620,"JP","ON","M","CP","025","ME","3"
"JP-ON-MC028","16","001",1386,2426,17413,0,NA,NA,NA,NA,NA,NA,1.3,1.3,0,0,925,267,1192,"JP","ON","M","CP","028","ME","3"
"JP-ON-MC032","16","001",2717,3529,16150,0,NA,NA,NA,NA,NA,NA,1.3,1.3,0,0,NA,74,74,"JP","ON","M","CP","032","ME","3"
"JP-ON-MC033","16","001",2328,5073,1684,0,NA,NA,NA,NA,NA,NA,1.8,1.8,0,0,1591,691,2282,"JP","ON","M","CP","033","ME","2"
"JP-ON-MC034","16","001",3742,2867,0,493,NA,NA,NA,NA,NA,NA,0.4,0.4,0,0,NA,171,171,"JP","ON","M","CP","034","ME","1"
"JP-ON-MC036","16","001",471,5293,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,2,2,"JP","ON","M","CP","036","ME","1"
"JP-ON-MC038","16","001",2273,3308,1684,0,NA,NA,NA,NA,NA,NA,0.5,0.5,0,0,NA,134,134,"JP","ON","M","CP","038","ME","2"
"JP-ON-MC039","16","001",942,1764,0,0,NA,NA,NA,NA,NA,NA,0.8,0.8,0,0,NA,287,287,"JP","ON","M","CP","039","ME","2"
"JP-SC-BC001","17","001",2176,3308,1868,0,NA,NA,NA,NA,NA,NA,4.5,4.5,0,0,1700,632,2332,"JP","SC","B","CP","001","FI","3"
"JP-SC-BC004","17","001",1331,4521,3105,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,"JP","SC","B","CP","004","FI","2"
